stoptorque goal_current current velocity position Fx Fy Fz Mx My Mz counterclock Time
0 0 0 0 3593 -0.00546169 -0.036768 0.0439415 0.000600576 0.000255145 0.000498042 1 5
0 0 0 0 3593 -0.0280886 0.0120869 0.033596 0.000147462 0.00070703 0.000269502 1 10
0 0 0 0 3593 -0.0229912 -0.0109844 0.015173 0.000691295 0.00134244 0.000362113 1 14
0 0 0 0 3593 -0.0307741 0.0143757 0.000864029 0.000124335 0.000572048 -0.000163928 1 18
0 0 0 0 3593 -0.0247993 0.0210361 -0.0720329 0.000878215 0.00079193 -0.000157431 1 22
0 0 0 0 3593 0.006567 -0.0115128 -0.0422401 0.000305653 -0.000258245 0.000156671 1 26
0 0 0 0 3593 -0.0102406 -0.0101833 -0.0186863 0.000896096 0.00053791 0.000141397 1 30
0 0 0 0 3593 -0.0116482 -0.0122643 0.00304604 -0.000142932 0.000600353 0.00038752 1 34
0 0 0 0 3593 -0.032794 -0.0238476 -0.0058136 0.000406742 0.00133899 0.00119084 1 38
0 0 0 0 3593 -0.0297928 0.0234394 -0.0214424 0.0012629 0.000745498 0.000527382 1 42
0 0 0 0 3593 -0.019557 0.0298977 0.0109959 0.000340939 0.00033842 0.000435174 1 46
0 0 0 0 3593 -0.0413227 0.0119648 0.00132561 0.000224352 0.000456676 4.17233e-05 1 50
0 0 0 0 3593 -0.0138922 -0.0168457 0.0337563 0.000387073 0.000369102 -1.08927e-05 1 55
0 0 0 0 3593 -0.0422144 0.00980377 -0.00613785 0.000324845 0.00121206 0.000550941 1 59
0 0 0 0 3593 -0.0296526 0.00981522 0.0434074 0.000626802 0.000555277 0.00013271 1 67
0 0 0 0 3593 0.00354862 -0.00309372 0.00494003 0.000259519 0.000322185 -4.75347e-06 1 71
0 0 0 0 3593 -0.0515051 -0.0120907 -0.0176411 -0.000295162 0.000797927 -8.78125e-05 1 75
0 0 0 0 3593 -0.00353336 0.0288582 0.00750732 0.000668526 -0.000274792 -2.53767e-05 1 81
0 0 0 0 3593 -0.0378227 -0.00778389 0.0313129 8.60691e-05 0.000369355 0.000430748 1 85
0 0 0 0 3593 -0.00777054 -0.00608253 0.0459824 0.000638366 0.000850387 7.54744e-05 1 90
0 0 0 0 3593 -0.00664139 0.0380573 -0.0345554 0.000601768 -9.09865e-05 0.000410616 1 94
0 0 0 0 3593 -0.0182304 -0.00508499 0.0131683 0.000262141 0.000978149 -3.63141e-05 1 99
0 0 0 0 3593 -0.0336971 -0.0234814 0.0338249 -0.000144958 0.000499882 -0.000239074 1 103
0 0 0 0 3593 -0.0212688 0.0178337 -0.048933 0.00116992 0.000541046 -0.000245005 1 107
0 0 0 0 3593 0.00620556 0.00596046 0.0025444 0.000569582 -0.000655115 5.79208e-05 1 111
0 0 0 0 3593 -0.0166855 -0.0106754 0.012146 0.000827551 0.000283286 0.000268236 1 115
0 0 0 0 3593 0.000935555 0.00592613 -0.0069313 2.43187e-05 0.000949576 0.00113551 1 119
0 0 0 0 3593 -0.0390177 -0.00321388 0.022707 -5.11408e-05 0.000734001 0.000832468 1 123
0 0 0 0 3593 -0.0294142 -0.0205593 0.0131073 0.000125766 0.000749871 3.81768e-05 1 127
0 0 0 0 3593 -0.0364666 0.0171051 0.00957298 0.000858426 0.000659227 -0.000101432 1 131
0 0 0 0 3593 -0.0299206 0.00343895 -0.0313663 0.000832081 0.000590891 0.000216454 1 135
0 0 0 0 3593 0.00529289 -0.00448036 -0.0310955 0.00103307 -0.000225894 0.000329807 1 139
0 0 0 0 3593 -0.0187817 -0.0173054 0.02701 0.000893116 0.000497662 0.000585511 1 143
0 0 0 0 3593 -0.00229549 0.0148144 0.0106354 0.000227094 0.00045298 0.000873342 1 147
0 0 0 0 3593 -0.0303431 -0.0299854 0.00213814 7.12872e-05 0.00149161 0.000771612 1 151
0 0 0 0 3593 -0.043767 -0.0164261 -0.00273132 -4.3273e-05 0.00113752 0.000221446 1 155
0 0 0 0 3593 -0.0264044 0.0246754 0.0432148 0.00111592 0.00011953 -0.000120357 1 159
0 0 0 0 3593 -0.0274687 0.0340042 -0.00832367 -1.77622e-05 0.000953063 7.96318e-05 1 163
0 0 0 0 3593 -0.00803375 -0.0128803 -0.00513268 0.000548363 -0.000732638 -0.000228241 1 167
0 0 0 0 3593 -0.0254145 0.00936508 0.00252151 0.000909448 0.000619426 0.000447989 1 171
0 0 0 0 3593 -0.0416603 0.00185776 -0.0507488 0.000511289 0.00060384 0.000243187 1 177
0 0 0 0 3593 -0.00876522 -0.000165939 0.0809975 0.000293732 0.000189289 0.000362322 1 181
0 0 0 0 3593 -0.0196867 0.00492477 0.0128384 0.000406742 0.000725195 7.51019e-05 1 187
0 0 0 0 3593 -0.00752258 0.0296173 0.0194664 0.000327945 0.000426851 0.000297397 1 192
