stoptorque goal_current current velocity position Fx Fy Fz Mx My Mz counterclock Time
0 0 0 0 3583 0.0567513 0.0661983 -0.0305252 -0.000527859 0.00126193 -9.84967e-05 1 5
0 0 0 0 3583 -0.0447235 0.0132484 0.0695896 -0.00130677 -0.00148039 -0.000891909 1 9
0 0 0 0 3583 0.0225611 0.0202847 -0.0564156 -0.000151277 0.00330544 -7.80672e-05 1 13
0 0 0 0 3583 0.00426674 0.0642166 0.130177 -0.00091064 0.00271961 -0.00135534 1 17
0 0 0 0 3583 -0.031642 -0.0244732 -0.00729179 -0.00108755 -0.00229026 0.00164223 1 21
0 0 0 0 3583 -0.0446682 0.0437126 0.124626 -0.00030005 0.00426712 -0.000829414 1 25
0 0 0 0 3583 0.060545 -0.00291252 -0.00823975 -0.00044179 0.000644967 -0.00148328 1 29
0 0 0 0 3583 -0.0601397 0.033226 -0.0728092 -0.00217783 -0.000414602 0.00153977 1 33
0 0 0 0 3583 -0.0103807 -0.0118694 0.0495796 0.000108719 0.00269807 -0.00213094 1 37
0 0 0 0 3583 0.0540609 0.0210152 -0.130257 -0.000622392 0.000657126 0.000741392 1 41
0 0 0 0 3583 -0.0787706 0.0208988 -0.0220509 -0.00155449 -0.000996582 0.000798002 1 45
0 0 0 0 3583 0.01933 0.024271 -0.0565491 0.000270844 0.00216302 0.000121027 1 49
0 0 0 0 3583 0.00419903 0.0747585 -0.159922 -0.000231266 0.00176663 0.000977531 1 53
0 0 0 0 3583 -0.0389957 -0.0192738 -0.054718 -0.000812054 0.000315875 0.000258654 1 57
0 0 0 0 3583 0.0310059 0.0660992 -0.0733547 -0.000339508 0.00297523 0.00157189 1 61
0 0 0 0 3584 0.00657558 0.00828552 -0.00323105 -0.000832677 0.000296712 -3.74317e-05 1 65
0 0 0 0 3583 -0.0193348 -0.00834656 -0.184614 -0.000592947 0.00128795 0.00100546 1 69
0 0 0 0 3583 -0.00650787 0.0666084 -0.0145664 -0.000875592 0.00105967 -0.000634983 1 73
0 0 0 0 3583 0.0545244 -0.0322914 -0.0941486 -0.000467896 0.000692189 0.000948891 1 77
0 0 0 0 3583 -0.0629396 0.0534954 -0.00711632 -0.00086081 0.00309461 0.00120388 1 81
0 0 0 0 3583 0.0114908 -0.020134 0.0111027 -4.31538e-05 -0.00139001 0.000334695 1 85
0 0 0 0 3583 0.0240307 0.0367374 -0.0938511 -0.000912666 0.00308238 0.000546888 1 88
0 0 0 0 3583 -0.0392036 -0.0301056 0.0344334 -1.70469e-05 0.000521198 -0.00068523 1 93
0 0 0 0 3583 0.0124912 0.0375042 -0.0221558 -0.000151992 0.00026352 0.00104043 1 97
0 0 0 0 3583 0.0266685 0.0190525 0.0389061 -0.00104368 0.00329489 -0.00198065 1 101
0 0 0 0 3583 -0.0158005 -0.0364304 0.053978 -0.000168324 -0.00074596 0.000698596 1 105
0 0 0 0 3583 -0.00887203 0.0782089 0.0265007 9.29832e-06 0.00176037 0.000707895 1 109
0 0 0 0 3583 0.0570326 -0.00932121 0.028326 -0.000852346 0.00151107 -0.00242648 1 113
0 0 0 0 3583 -0.0491924 -0.0172482 -0.10607 -0.00052464 0.0002883 0.00138317 1 117
0 0 0 0 3583 0.00505924 0.0497589 0.0962963 -0.000192404 0.00191621 -0.00088498 1 121
0 0 0 0 3583 0.0810528 -0.0173626 -0.0975533 -0.000823855 0.000996359 -0.000223458 1 124
0 0 0 0 3583 -0.0743914 0.0258236 0.0319977 -0.000407457 0.000239715 0.00177878 1 129
0 0 0 0 3583 0.0391111 0.0197792 0.0240002 0.00103116 0.000704817 -0.00022912 1 133
0 0 0 0 3583 0.0259562 0.0338058 -0.199835 -0.000658512 0.0020161 6.17206e-05 1 136
0 0 0 0 3583 -0.0633287 -0.0191956 -0.00722122 -0.000552773 -0.000392459 -0.000162005 1 140
0 0 0 0 3583 0.021843 -0.0130005 -0.109579 0.000256181 0.00271944 0.000322625 1 145
0 0 0 0 3583 0.0226135 0.0436134 0.00758362 -0.0012933 0.00116693 0.000501156 1 148
0 0 0 0 3583 -0.0288868 -0.0115528 -0.104368 -0.00118268 -9.90182e-05 0.000779703 1 153
0 0 0 0 3583 0.0152788 0.0309963 -0.0284061 0.000683069 0.00231733 0.000573829 1 157
0 0 0 0 3583 0.00930595 0.0503254 0.0705338 -0.000645041 8.40202e-05 -0.000170723 1 161
0 0 0 0 3583 0.00159359 -0.0129452 -0.159 -0.000943184 0.00181863 -0.000245258 1 165
0 0 0 0 3583 -0.0204048 0.0243397 0.156727 0.000223994 0.000977121 1.47372e-05 1 169
0 0 0 0 3583 0.0596399 0.00362587 0.00222015 -0.000446916 0.000270195 -0.000159368 1 172
0 0 0 0 3583 -0.0180826 0.0419788 0.0335522 -0.000467181 0.00324749 -0.000311002 1 176
0 0 0 0 3583 -0.0862236 -0.016943 0.0686302 -0.000490189 -0.00158156 -0.000391439 1 180
0 0 0 0 3583 0.0468063 0.0315876 -0.0782146 0.000509977 0.00320297 -0.00035283 1 184
0 0 0 0 3583 -0.0226002 0.0561047 0.0169697 -0.00175846 0.00143937 -0.000939801 1 188
0 0 0 0 3583 -0.0523481 -0.0421886 -0.08074 -0.000349283 -0.000893407 0.00125726 1 192
0 0 0 0 3583 0.0530348 0.0376148 -0.0183697 5.84126e-06 0.00438692 0.00130092 1 196
0 0 0 0 3583 -0.0195045 0.0130157 -0.047802 -0.00105596 0.000212438 0.000412524 1 200
0 0 0 0 3583 -0.0177326 -0.0339966 -0.114767 2.51532e-05 -0.00054466 0.00276423 1 204
0 0 0 0 3583 0.0284128 0.0515366 -0.00881958 -0.000230074 0.00441165 -0.00107029 1 208
0 0 0 0 3583 0.0457554 0.0217991 -0.14633 -0.00065124 -0.0012193 0.000565499 1 212
0 0 0 0 3583 -0.049324 0.0252094 0.0735817 -0.000825286 0.000425264 0.00151645 1 216
0 0 0 0 3583 0.0573835 -0.0193062 -0.00253296 0.0011481 0.00278208 -0.00159661 1 220
0 0 0 0 3583 -0.0109596 0.064682 -0.0399628 -0.00231194 -0.000207275 0.00141582 1 224
0 0 0 0 3583 -0.0456429 -0.0039711 0.0472965 -0.000323176 0.00027702 -0.0006935 1 228
0 0 0 0 3583 0.0460224 0.0265121 -0.0774193 0.00125504 0.00385927 -0.000408992 1 232
0 0 0 0 3583 -0.0318794 0.0496788 0.0536194 -0.0025723 -6.96406e-05 -0.000372216 1 236
0 0 0 0 3583 -0.00787354 -0.0416718 0.0362282 0.000604033 0.000679798 0.000518069 1 240
0 0 0 0 3583 0.0389395 0.071785 0.0577717 0.000126123 0.00161289 -0.000203416 1 244
0 0 0 0 3583 -0.000994682 0.00382996 -0.111578 -0.00189745 1.88053e-05 -0.000791475 1 248
0 0 0 0 3583 0.0166721 -0.0356064 0.0427818 -0.000230789 0.00138532 -0.00010781 1 252
0 0 0 0 3583 0.0312223 0.0232105 0.0368233 0.000210285 0.000106879 -0.000140563 1 256
0 0 0 0 3583 -0.0191479 0.00208473 -0.0473289 -0.00135541 0.00246078 -0.000414938 1 260
0 0 0 0 3583 -0.0784712 0.00928688 0.0736847 0.000123501 0.00148624 -0.000250131 1 264
0 0 0 0 3583 0.0509682 -0.00418091 -0.0434608 -0.000174999 -0.000569418 6.13928e-06 1 268
0 0 0 0 3583 -0.0302048 0.0457973 -0.00859261 -0.00242639 0.00350768 -0.00100595 1 272
0 0 0 0 3583 -0.00978947 -0.0640507 -0.0016346 0.00022912 -0.00132364 0.000424728 1 276
0 0 0 0 3583 0.0376873 0.0613728 0.0163746 -0.00106144 0.0011184 0.00123142 1 280
0 0 0 0 3583 -0.00919914 -0.000745773 0.0225277 -0.00214112 0.00218894 -0.00121261 1 284
0 0 0 0 3583 -0.00914574 0.0405807 -0.0773182 0.000537753 -0.00102072 0.0020099 1 288
0 0 0 0 3583 -0.00741577 0.057333 -0.0187664 -0.000731587 0.00162724 -0.000930071 1 292
0 0 0 0 3583 0.00745583 -0.0349693 0.05583 0.000397801 -0.000293329 -0.00137866 1 297
0 0 0 0 3583 -0.0476532 0.0566044 -0.0120659 -0.00140858 0.000364214 -0.000290781 1 301
0 0 0 0 3583 -0.0226431 -0.0181961 0.0220947 0.000321865 -0.00105157 0.000730991 1 305
0 0 0 0 3583 0.0443239 0.0763416 -0.0420666 -0.000853419 0.00515868 -0.00170672 1 309
0 0 0 0 3583 -0.0153427 -0.00309181 0.0634747 -0.000823855 -0.00102935 0.000333339 1 313
0 0 0 0 3583 -0.0218506 0.00312233 -0.021944 -0.00043273 0.00120763 0.00155108 1 317
0 0 0 0 3583 0.0369091 0.0547256 0.0649719 -0.00132716 0.00273977 -0.00174682 1 321
0 0 0 0 3583 -0.0269508 -0.0137005 -0.103743 -0.000838995 0.000745147 0.00108528 1 325
0 0 0 0 3583 -0.0336628 0.063591 0.0824394 0.000225544 0.00199843 -0.000471681 1 329
0 0 0 0 3583 0.0615835 -0.00560188 -0.0790863 -0.000834346 0.000539422 -0.000339314 1 333
0 0 0 0 3583 -0.036356 0.0349064 -0.0369949 -0.00126171 0.00244561 0.00125252 1 337
0 0 0 0 3583 0.015048 -0.0251808 0.0607033 0.000451684 -0.000915095 0.000430405 1 341
0 0 0 0 3583 0.00709438 0.0478344 -0.180592 -0.000566483 0.00113696 0.00108521 1 346
0 0 0 0 3583 0.0367012 0.0488377 0.0830326 9.72748e-05 0.00202893 -0.000843748 1 350
0 0 0 0 3583 -0.00127792 -0.0407448 -0.104052 2.13385e-05 0.00108431 0.00161566 1 354
0 0 0 0 3583 -0.0901098 0.0213871 0.0639057 -0.000822783 2.26349e-05 0.0014686 1 358
0 0 0 0 3583 0.0409021 -0.0145588 -0.0464516 0.000711799 0.00212532 -0.000611097 1 362
0 0 0 0 3583 -0.0275717 0.0121212 -0.0298824 -0.000718355 0.000342727 0.0016918 1 366
0 0 0 0 3583 0.00742912 0.0666275 0.121735 -0.000571728 0.000265449 -0.000756696 1 370
0 0 0 0 3583 0.0475998 -0.0181217 -0.144423 -0.000363708 0.00344366 -0.00197551 1 374
0 0 0 0 3583 0.00406933 0.0541286 -0.0257359 -0.00167537 0.00209744 -0.000300214 1 378
0 0 0 0 3583 -0.0356388 -0.0353699 -0.0551186 -0.00123656 -0.00263547 0.0014071 1 382
0 0 0 0 3583 0.00485325 -0.00927544 -0.0258465 0.000443816 0.00507805 0.000576451 1 386
0 0 0 0 3583 0.0257502 0.0468502 0.0277939 -0.00147867 0.00034298 -0.00134484 1 390
0 0 0 0 3583 0.0368538 0.0151901 -0.0498047 0.000655293 0.00115009 0.000333086 1 394
0 0 0 0 3583 0.0323582 0.0217342 0.0799007 0.000501752 0.00384773 -0.00163545 1 398
0 0 0 0 3583 -0.019104 -0.0414639 -0.0807438 -0.000980258 -0.00114859 0.000734776 1 402
0 0 0 0 3583 0.0371151 0.0488434 -0.0616837 0.00027287 0.00192011 0.0013634 1 406
0 0 0 0 3583 0.00750542 0.0248508 -0.00385666 -0.000753284 0.00143842 -0.00033091 1 410
0 0 0 0 3583 0.00634384 0.0524788 -0.0597038 -0.00136697 0.00262005 -0.000206351 1 414
0 0 0 0 3583 0.01548 0.065836 0.0124683 0.000136137 0.00111956 -0.000250131 1 418
0 0 0 0 3583 0.0533905 -0.0269756 -0.15554 -0.000368595 0.00120131 0.000122398 1 422
0 0 0 0 3583 -0.0629463 0.0535717 -0.0118523 -0.000825763 0.00307357 0.0011348 1 426
0 0 0 0 3583 0.0222979 -0.0123386 0.00285721 0.00142002 -0.00119793 0.000104114 1 430
0 0 0 0 3583 0.0268784 0.0520477 -0.0745564 -0.00134385 0.00225405 0.000247374 1 434
0 0 0 0 3583 -0.0596857 -0.00854874 0.00264549 -0.000630856 0.00236411 -0.00110266 1 438
0 0 0 0 3583 0.031517 0.0134106 -0.0850449 -0.000237584 -0.000538789 0.000652924 1 442
0 0 0 0 3583 -0.00394726 0.0154839 0.0298672 0.000200391 -0.00023596 0.00115049 1 446
0 0 0 0 3583 0.000536919 -0.0218697 -0.00654602 -0.000685692 0.00274623 -0.000132903 1 450
0 0 0 0 3583 -0.0330248 0.085228 0.0677834 -0.000212193 -0.00135684 0.000676617 1 454
0 0 0 0 3583 0.0378666 -0.00748825 -0.0205536 -0.000944138 0.000756562 -0.000842527 1 458
0 0 0 0 3583 0.0237465 0.0589485 -0.0945969 -0.00160825 0.00389792 0.000266045 1 462
0 0 0 0 3583 -0.0211859 0.0348644 0.14715 0.000296354 -0.00114858 1.53482e-05 1 466
0 0 0 0 3583 0.0848446 -0.0269146 -0.133726 -0.000429273 0.00134975 1.56462e-06 1 470
0 0 0 0 3583 -0.0640001 0.0436707 0.0478191 -0.000649929 0.00340859 0.000972614 1 474
0 0 0 0 3583 0.0178633 -0.01371 0.0184193 0.00095427 -0.0015754 0.000275373 1 478
0 0 0 0 3583 0.0138855 0.0498409 -0.14908 -0.000341773 0.00227968 0.00117628 1 482
0 0 0 0 3583 -0.0345135 -0.0222664 -0.0254078 -0.000748277 0.000599422 -0.000965089 1 486
0 0 0 0 3583 0.0134306 0.0120125 -0.0753078 2.77758e-05 0.000503525 0.00146487 1 490
0 0 0 0 3583 -0.0431042 0.0244408 0.0525494 1.74046e-05 0.00108095 -0.000898913 1 495
0 0 0 0 3583 0.0417185 0.0435677 -0.0659008 -0.000611424 0.000621319 -0.000369385 1 499
0 0 0 0 3583 2.95639e-05 0.0434837 0.0650806 -0.000289798 0.00217431 4.68045e-05 1 503
0 0 0 0 3583 0.00659847 -0.0292931 0.0140686 0.000885129 0.000824898 -0.000126526 1 507
0 0 0 0 3583 -0.0491629 0.0564194 0.0371876 -0.000264049 0.00102796 0.00033468 1 512
0 0 0 0 3583 0.0800495 -0.00317574 -0.100992 -0.000381708 0.000139669 -0.00112215 1 516
0 0 0 0 3583 -0.0279703 0.0336742 -0.0242767 -0.00185609 0.00229311 0.000478581 1 520
0 0 0 0 3583 0.0170546 -0.0462894 0.104078 -6.52075e-05 -0.00142691 -0.000175104 1 524
0 0 0 0 3583 -0.00989723 0.0111866 -0.115259 -0.000166893 0.000618778 0.00184672 1 529
0 0 0 0 3583 0.0501328 0.0536709 -0.0225182 -0.000134468 0.0032661 -0.00159988 1 533
0 0 0 0 3583 0.0112104 -0.026577 -0.173796 -0.000784159 0.000400618 0.000928819 1 537
0 0 0 0 3583 -0.0641575 0.0369492 0.0796032 -1.97887e-05 0.00137011 0.00149158 1 541
0 0 0 0 3583 -0.00373268 -0.0251274 -0.0936069 -0.000669837 0.000131637 9.0614e-05 1 545
0 0 0 0 3583 -0.00719929 0.0643902 -0.0855122 -0.00157547 0.000985429 0.00100601 1 549
0 0 0 0 3583 -0.0511599 -0.0354118 0.0235271 -0.000398278 -0.00096558 -0.000384033 1 553
0 0 0 0 3583 0.0375395 0.0329876 -0.05299 0.000378489 0.00325795 -0.00078468 1 557
0 0 0 0 3583 0.00983238 0.0318336 0.0646019 -0.00156188 0.00169737 -0.000655562 1 561
0 0 0 0 3583 -0.0351582 -0.0351334 0.0144119 -0.000456214 0.000505432 0.00103314 1 565
0 0 0 0 3583 0.00529957 0.0675945 0.0549183 -0.000659823 0.00212739 -0.000354961 1 569
0 0 0 0 3583 0.0239038 -0.0267296 -0.0249023 -0.00146449 0.000967935 -0.00112113 1 573
0 0 0 0 3583 -0.0050087 -0.00700188 0.00394058 -0.000533938 -0.000428803 0.000637889 1 577
0 0 0 0 3583 -0.00189209 0.0293198 0.131531 -0.000367284 0.000476941 -0.000619814 1 581
0 0 0 0 3583 0.0457258 -0.0169468 -0.0912437 -0.00128293 0.00177952 0.000227571 1 585
0 0 0 0 3583 -0.090477 0.0193272 0.0755978 -0.000748992 0.000380307 0.00019674 1 589
0 0 0 0 3583 0.0496206 0.0150967 0.00475502 0.000837326 0.00118436 -0.00102189 1 593
0 0 0 0 3583 -0.0134726 0.0582294 -0.115337 -0.000664234 0.00390468 0.00015384 1 597
0 0 0 0 3583 -0.0367956 -0.0442924 0.017807 0.000164151 -0.0011297 -0.000491396 1 601
0 0 0 0 3583 0.0403547 0.037468 -0.0623608 -0.000529289 0.00130273 0.000792131 1 605
0 0 0 0 3583 -0.0231438 -0.00725937 -0.00537872 -0.000997543 0.000845939 -0.000491083 1 609
0 0 0 0 3583 -0.0230417 -0.0133915 -0.180935 -5.26905e-05 -0.000707075 0.0016301 1 613
0 0 0 0 3583 -0.00911331 0.0779324 -0.050972 -0.000762463 0.00231573 -0.00114059 1 617
0 0 0 0 3583 0.00684166 -0.0380707 -0.115124 -0.000262499 0.00148454 0.000672325 1 621
0 0 0 0 3583 -0.0272923 0.0340824 0.0414333 0.000505567 0.00287614 0.00171696 1 625
0 0 0 0 3583 0.0201006 0.0154152 -0.0803185 -0.000498652 -0.000510916 0.000642091 1 629
0 0 0 0 3583 -0.0319576 0.00471306 -0.123579 -0.000943542 0.00298704 0.00141531 1 633
0 0 0 0 3583 -0.012742 -0.0409985 0.0401688 -0.00110471 0.0015305 -0.000572652 1 637
0 0 0 0 3583 0.031147 0.0193024 -0.123091 -0.00159252 -0.000634693 0.00211339 1 641
0 0 0 0 3583 -0.0274296 0.0152779 0.0425873 -0.00039506 0.00243092 0.000277027 1 645
0 0 0 0 3583 0.0644903 0.0154018 -0.115341 0.000418782 0.00210712 -0.000126496 1 649
0 0 0 0 3583 -0.0255594 0.0502243 -0.0809345 -0.00166571 -0.000871964 0.00099881 1 653
0 0 0 0 3583 -0.00524139 -0.0342541 -0.0315304 0.000724196 0.00358183 1.83135e-05 1 657
0 0 0 0 3583 0.0409575 0.0584755 -0.0386848 -0.000916839 0.0025189 0.00035727 1 661
0 0 0 0 3583 -0.0468397 -0.00980186 -0.0496655 -0.00118554 -0.00237501 0.00152698 1 665
0 0 0 0 3583 0.014966 0.0300388 0.0102844 0.000350952 0.00347802 5.30183e-05 1 669
0 0 0 0 3583 0.0547714 -0.0383816 0.0568848 0.00015986 0.00254969 -0.00171855 1 673
0 0 0 0 3583 -0.0447159 -0.012619 -0.110092 -0.000345588 -0.000334226 0.00195941 1 677
0 0 0 0 3583 0.0476131 0.0413094 0.0408707 0.000235796 0.00357269 -0.00189701 1 681
