stoptorque goal_current current velocity position Fx Fy Fz Mx My Mz counterclock Time
0 0 0 0 5157 0.0469809 -0.0574036 -0.314167 0.00707328 0.00430559 -0.00334893 1 6
0 0 0 0 5157 0.110684 -0.201471 -0.507725 0.0241846 0.0126362 -0.0246161 1 11
0 0 0 0 5157 0.0607185 -0.107765 0.0370674 0.0201111 0.011947 -0.0282105 1 15
0 0 0 0 5157 0.175688 -0.11854 0.183344 0.0137115 0.00918303 -0.0199913 1 20
0 0 0 0 5157 0.333127 -0.218813 0.019001 0.0130621 0.00381144 -0.0190671 1 25
0 0 0 0 5157 0.362139 0.123865 -0.168879 0.0133741 0.0040855 -0.0227286 1 29
0 0 0 0 5157 0.0670786 0.161659 0.0324669 0.0130228 0.00324232 -0.0195437 1 33
0 0 0 0 5157 0.14244 0.0465031 0.104609 0.0151902 0.00217319 -0.0221445 1 38
0 0 0 0 5157 0.40607 -0.0371952 0.291712 0.0143596 0.000857249 -0.0241822 1 43
0 0 0 0 5157 0.430966 -0.0380936 0.358315 0.0139326 6.53267e-05 -0.0248142 1 47
0 0 0 0 5157 0.25458 -0.00490952 0.241463 0.0160396 0.000668578 -0.0275144 1 52
0 0 0 0 5157 0.285914 0.0412292 0.18342 0.0170517 0.0033972 -0.0304507 1 57
0 0 0 0 5157 0.472056 -0.0466328 -0.19253 0.0178115 0.00546118 -0.0260682 1 61
0 0 0 0 5157 0.503775 -0.00149727 0.294523 0.017192 0.00574475 -0.0301375 1 67
0 0 0 0 5157 0.495828 0.0174313 0.375757 0.0183252 0.00592247 -0.0325805 1 72
0 0 0 0 5157 0.627529 -0.0818253 -0.0280724 0.0191119 0.00535708 -0.0306332 1 77
0 0 0 0 5157 0.526013 0.119368 0.32114 0.0169765 0.00640354 -0.0323222 1 82
0 0 0 0 5157 0.691512 -0.0641651 -0.0242558 0.0177397 0.00525626 -0.0302879 1 87
0 0 0 0 5157 0.750573 -0.0456734 -0.0931129 0.0176098 0.0058163 -0.0306982 1 92
0 0 0 0 5157 0.647781 0.0580673 0.282785 0.0168719 0.00642619 -0.0348615 1 97
0 0 0 0 5157 0.780774 -0.0732899 -0.159624 0.016571 0.00692439 -0.0311052 1 102
0 0 0 0 5157 0.689878 0.00111961 0.26326 0.0155594 0.00583509 -0.0340023 1 107
0 0 0 0 5157 0.734901 0.0683384 0.0285244 0.0138842 0.00887298 -0.0291418 1 111
0 0 0 0 5157 0.758718 0.122065 -0.0599594 0.0138648 0.00830115 -0.0287547 1 116
0 0 0 0 5157 0.646166 0.122545 0.46015 0.012808 0.0064012 -0.033622 1 120
0 0 0 0 5157 0.750866 0.0906143 0.429956 0.0126903 0.00445541 -0.0350487 1 125
0 0 0 0 5157 0.849174 0.0700359 0.0532761 0.0138535 0.00614727 -0.030665 1 129
0 0 0 0 5157 0.903206 0.0683784 0.110931 0.0136169 0.00597236 -0.031029 1 134
0 0 0 0 5157 0.80968 0.186556 0.42765 0.0125149 0.00672967 -0.0327746 1 138
0 0 0 0 5157 0.910759 0.00979424 0.147264 0.0114598 0.00394397 -0.0304982 1 142
0 0 0 0 5157 0.815476 0.279673 0.228279 0.00983942 0.00917798 -0.0284007 1 146
0 0 0 0 5157 0.775426 0.135572 0.439577 0.00802672 0.00425573 -0.0301158 1 149
0 0 0 0 5157 0.815748 0.112741 -0.0161324 0.00607145 0.00911522 -0.0230059 1 154
0 0 0 0 5157 0.758062 0.234173 0.380106 0.00417662 0.00732506 -0.0249742 1 158
0 0 0 0 5157 0.771168 0.224367 0.36566 0.00280154 0.00853103 -0.0239408 1 162
0 0 0 0 5157 0.843229 0.0767403 0.0128918 0.00418591 0.00683028 -0.0186903 1 167
0 0 0 0 5157 0.764903 0.119038 -0.0664444 0.000271678 0.00754059 -0.0176783 1 172
0 0 0 0 5157 0.591973 0.364883 0.185568 -0.000324249 0.0139687 -0.0178476 1 176
0 0 0 0 5157 0.621108 0.132557 0.129974 -0.00290346 0.00680044 -0.0181364 1 179
0 0 0 0 5157 0.536506 0.367077 0.0643024 -0.00295699 0.0124304 -0.0125644 1 183
0 0 0 0 5157 0.595268 0.145735 0.0985813 -0.00358117 0.00769713 -0.0141451 1 187
0 0 0 0 5157 0.57536 0.277246 -0.17605 -0.00532126 0.0110968 -0.00968347 1 191
0 0 0 0 5157 0.431684 0.317636 0.255804 -0.00641656 0.00838032 -0.00912708 1 196
0 0 0 0 5157 0.537183 0.263838 -0.29191 -0.00680971 0.00938649 -0.0049613 1 200
0 0 0 0 5157 0.42165 0.305655 -0.251757 -0.00663662 0.00925902 -0.00244905 1 205
0 0 0 0 5158 0.259953 0.346354 0.131245 -0.00966418 0.00963374 -0.00451459 1 208
0 0 0 0 5157 0.397182 0.289457 -0.324661 -0.01116 0.00762631 -0.00183448 1 212
0 0 0 0 5157 0.238146 0.466108 0.157534 -0.010592 0.0100394 -0.00132269 1 216
0 0 0 0 5157 0.369672 0.236937 -0.172054 -0.0108632 0.00719245 -0.000836819 1 221
0 0 0 0 5157 0.240482 0.223967 -0.354773 -0.0114154 0.00912878 -0.000555947 1 225
0 0 0 0 5157 0.0622702 0.313681 -0.418991 -0.0136654 0.00790285 0.00617491 1 230
0 0 0 0 5157 -0.189344 0.562395 -0.0413246 -0.0204796 0.00502462 0.0082072 1 234
0 0 0 0 5157 -0.223365 0.443026 -0.0385075 -0.0207247 0.00245082 0.0117593 1 239
0 0 0 0 5157 -0.124923 0.45178 -0.432577 -0.0187324 0.00809234 0.0168576 1 243
0 0 0 0 5157 -0.150815 0.551867 -0.236727 -0.0192996 0.00902466 0.0153618 1 248
0 0 0 0 5157 -0.0679989 0.309084 -0.166855 -0.019483 0.00126493 0.0123248 1 252
0 0 0 0 5157 0.00922775 0.439796 -0.261621 -0.00714576 0.00832625 0.0192233 1 257
0 0 0 0 5157 -0.172702 0.592413 -0.187304 -0.0280164 0.00405242 0.0126649 1 261
0 0 0 0 5157 -0.0993633 0.442444 -0.152763 -0.0156096 0.00450219 0.0162048 1 266
0 0 0 0 5157 -0.089633 0.505362 -0.38962 -0.0224965 0.0067242 0.01917 1 270
0 0 0 0 5157 -0.24161 0.582067 -0.261967 -0.0207498 0.00730693 0.018222 1 275
0 0 0 0 5157 -0.142085 0.361944 -0.221344 -0.0204402 0.00313868 0.0164731 1 279
0 0 0 0 5157 -0.0588398 0.338238 -0.311026 -0.0182471 0.00316084 0.0148457 1 284
0 0 0 0 5157 -0.233103 0.538143 -0.0266895 -0.019475 0.0049234 0.0137188 1 288
0 0 0 0 5157 -0.0853071 0.380434 -0.431149 -0.0188934 0.00266226 0.0165762 1 292
0 0 0 0 5157 -0.234611 0.536991 -0.0487881 -0.0199128 0.0053936 0.013293 1 296
0 0 0 0 5157 -0.133936 0.385565 -0.452715 -0.0196389 0.00396635 0.0162015 1 300
