Fx1 Fz1 M_max M_min
-20 -7 -0.0442769 -0.256455
-19.9 -7 -0.0330556 -0.256931
-19.8 -7 -0.0218342 -0.257407
-19.7 -7 -0.0106128 -0.257882
-19.6 -7 0.000608591 -0.258358
-19.5 -7 0.01183 -0.258833
-19.4 -7 0.0230514 -0.259309
-19.3 -7 0.0342727 -0.259784
-19.2 -7 0.0454941 -0.26026
-19.1 -7 0.0567155 -0.260736
-19 -7 0.0679369 -0.261211
-18.9 -7 0.0791583 -0.261687
-18.8 -7 0.0903797 -0.262162
-18.7 -7 0.101601 -0.262638
-18.6 -7 0.112822 -0.263113
-18.5 -7 0.124044 -0.263589
-18.4 -7 0.135265 -0.264064
-18.3 -7 0.146487 -0.26454
-18.2 -7 0.157708 -0.265016
-18.1 -7 0.168929 -0.265491
-18 -7 0.180151 -0.265967
-17.9 -7 0.191372 -0.266442
-17.8 -7 0.202594 -0.266918
-17.7 -7 0.213815 -0.267393
-17.6 -7 0.225036 -0.267869
-17.5 -7 0.236258 -0.268344
-17.4 -7 0.247815 -0.26882
-17.3 -7 0.248254 -0.269296
-17.2 -7 0.248692 -0.269771
-17.1 -7 0.249131 -0.270247
-17 -7 0.249569 -0.270722
-16.9 -7 0.250007 -0.271198
-16.8 -7 0.250446 -0.271673
-16.7 -7 0.250884 -0.272149
-16.6 -7 0.251323 -0.272625
-16.5 -7 0.251761 -0.2731
-16.4 -7 0.252199 -0.273576
-16.3 -7 0.252638 -0.274051
-16.2 -7 0.253076 -0.274527
-16.1 -7 0.253515 -0.275002
-16 -7 0.253953 -0.275478
-15.9 -7 0.254391 -0.275953
-15.8 -7 0.25483 -0.276429
-15.7 -7 0.255268 -0.276905
-15.6 -7 0.255707 -0.27738
-15.5 -7 0.256145 -0.277856
-15.4 -7 0.256583 -0.278331
-15.3 -7 0.257022 -0.278807
-15.2 -7 0.25746 -0.279282
-15.1 -7 0.257899 -0.279758
-15 -7 0.258337 -0.280234
-14.9 -7 0.258775 -0.280709
-14.8 -7 0.259214 -0.281185
-14.7 -7 0.259652 -0.28166
-14.6 -7 0.260091 -0.282136
-14.5 -7 0.260529 -0.282611
-14.4 -7 0.260967 -0.283087
-14.3 -7 0.261406 -0.283562
-14.2 -7 0.261844 -0.284038
-14.1 -7 0.262283 -0.284514
-14 -7 0.262721 -0.284989
-13.9 -7 0.263159 -0.285465
-13.8 -7 0.263598 -0.28594
-13.7 -7 0.264036 -0.286416
-13.6 -7 0.264475 -0.286891
-13.5 -7 0.264913 -0.287367
-13.4 -7 0.265351 -0.287842
-13.3 -7 0.26579 -0.288318
-13.2 -7 0.266228 -0.288794
-13.1 -7 0.266667 -0.289269
-13 -7 0.267105 -0.289745
-12.9 -7 0.267543 -0.29022
-12.8 -7 0.267982 -0.290696
-12.7 -7 0.26842 -0.291171
-12.6 -7 0.268859 -0.291647
-12.5 -7 0.269297 -0.292123
-12.4 -7 0.269735 -0.292598
-12.3 -7 0.270174 -0.293074
-12.2 -7 0.270612 -0.293549
-12.1 -7 0.271051 -0.294025
-12 -7 0.271489 -0.2945
-11.9 -7 0.271927 -0.294976
-11.8 -7 0.272366 -0.295451
-11.7 -7 0.272804 -0.295927
-11.6 -7 0.273243 -0.296403
-11.5 -7 0.273681 -0.296878
-11.4 -7 0.274119 -0.297354
-11.3 -7 0.274558 -0.297829
-11.2 -7 0.274996 -0.298305
-11.1 -7 0.275435 -0.29878
-11 -7 0.275873 -0.299256
-10.9 -7 0.276311 -0.299731
-10.8 -7 0.27675 -0.300207
-10.7 -7 0.277188 -0.300683
-10.6 -7 0.277627 -0.301158
-10.5 -7 0.278065 -0.301634
-10.4 -7 0.278503 -0.302109
-10.3 -7 0.278942 -0.302585
-10.2 -7 0.27938 -0.30306
-10.1 -7 0.279819 -0.303536
-10 -7 0.280257 -0.304012
-9.9 -7 0.280695 -0.304487
-9.8 -7 0.281134 -0.304963
-9.7 -7 0.281572 -0.305438
-9.6 -7 0.282011 -0.305914
-9.5 -7 0.282449 -0.306389
-9.4 -7 0.282887 -0.306865
-9.3 -7 0.283326 -0.30734
-9.2 -7 0.283764 -0.307816
-9.1 -7 0.284203 -0.308292
-9 -7 0.284641 -0.308767
-8.9 -7 0.285079 -0.309243
-8.8 -7 0.285518 -0.309718
-8.7 -7 0.285956 -0.310194
-8.6 -7 0.286395 -0.310669
-8.5 -7 0.286833 -0.311145
-8.4 -7 0.287271 -0.311621
-8.3 -7 0.28771 -0.312096
-8.2 -7 0.288148 -0.312572
-8.1 -7 0.288587 -0.313047
-8 -7 0.289025 -0.313523
-7.9 -7 0.289463 -0.313998
-7.8 -7 0.289902 -0.314474
-7.7 -7 0.29034 -0.314949
-7.6 -7 0.290779 -0.315425
-7.5 -7 0.291217 -0.315901
-7.4 -7 0.291655 -0.316376
-7.3 -7 0.292094 -0.316852
-7.2 -7 0.292532 -0.317327
-7.1 -7 0.292971 -0.317803
-7 -7 0.293409 -0.318278
-6.9 -7 0.293847 -0.318754
-6.8 -7 0.294286 -0.319229
-6.7 -7 0.294724 -0.319705
-6.6 -7 0.295163 -0.320181
-6.5 -7 0.295601 -0.320656
-6.4 -7 0.29604 -0.321132
-6.3 -7 0.296478 -0.321607
-6.2 -7 0.296916 -0.322083
-6.1 -7 0.297355 -0.322558
-6 -7 0.297793 -0.323034
-5.9 -7 0.298232 -0.32351
-5.8 -7 0.29867 -0.323985
-5.7 -7 0.299108 -0.324461
-5.6 -7 0.299547 -0.324936
-5.5 -7 0.299985 -0.325412
-5.4 -7 0.300424 -0.325887
-5.3 -7 0.300862 -0.326363
-5.2 -7 0.3013 -0.326838
-5.1 -7 0.301739 -0.327314
-5 -7 0.302177 -0.32779
-4.9 -7 0.302616 -0.328265
-4.8 -7 0.303054 -0.328741
-4.7 -7 0.303492 -0.329216
-4.6 -7 0.303931 -0.329692
-4.5 -7 0.304369 -0.330167
