stoptorque goal_current current velocity position Fx Fy Fz Mx My Mz counterclock Time
0 190 149 0 3895 0.11877 0.0990772 0.0110664 0.00217247 -0.000356883 -0.00267786 1 4
0 190 191 0 3895 0.108725 0.115723 -0.0945644 0.000436306 -0.00182473 -0.0014049 1 9
0 190 190 0 3896 -0.0726156 -0.000303268 0.150728 0.00507033 -0.00557207 0.00183691 1 13
0 190 189 1 3897 -0.508425 -0.0707264 -0.175245 0.00575137 -0.021844 -0.00387833 1 17
0 190 188 5 3899 -0.983107 -0.186415 -0.245491 0.0141649 -0.0391034 -0.0110525 1 21
0 190 193 7 3900 -1.54643 -0.234804 -0.0101089 0.0171676 -0.0621176 -0.014767 1 25
0 190 189 12 3902 -1.90879 -0.0979443 0.0292492 0.0238106 -0.0822855 -0.0245351 1 30
0 190 189 16 3905 -2.08338 0.103666 -0.136923 0.0259128 -0.104248 -0.0270462 1 34
0 190 193 20 3906 -1.99607 0.0570621 -0.346748 0.0242571 -0.116935 -0.0317912 1 38
0 190 189 21 3907 -1.77534 0.167694 -1.1172 0.0171733 -0.110312 -0.0337682 1 42
0 190 187 21 3908 -0.692011 0.624529 -0.739443 0.0141951 -0.120426 -0.0264042 1 48
0 190 193 21 3910 -0.221474 0.63101 -0.510691 0.000281811 -0.132898 -0.0259798 1 53
0 190 190 21 3911 0.306059 0.787491 -0.202923 -0.010455 -0.154357 -0.015678 1 58
0 190 191 20 3914 0.301126 0.38695 -0.126713 -0.00451493 -0.168669 -0.0096087 1 63
0 190 191 19 3915 -0.15581 0.127352 -0.0354939 0.00636601 -0.177366 -0.000949353 1 68
0 190 192 18 3917 -0.492233 0.0176392 0.406809 0.0120803 -0.187481 -0.00440261 1 73
0 190 191 19 3919 -0.928722 0.132872 0.777514 0.00995302 -0.196217 -0.00902146 1 78
0 190 187 19 3920 -1.14332 0.131195 1.18943 0.00760484 -0.198056 -0.00951487 1 83
0 190 189 18 3920 -1.08151 0.131424 1.09068 0.00714397 -0.194477 -0.0117489 1 88
0 190 190 14 3920 -0.964695 0.162169 1.15492 0.00872481 -0.189454 -0.0076625 1 93
0 190 190 11 3920 -0.973634 -0.0499554 1.38539 0.00886011 -0.183796 -0.00264326 1 98
0 190 189 7 3920 -0.956667 -0.0639 1.08123 0.00896537 -0.18473 -0.00250807 1 103
0 190 190 2 3920 -0.957611 -0.0684528 1.17112 0.00947177 -0.182402 -0.00226587 1 108
0 190 190 0 3920 -1.0311 -0.112778 1.04197 0.010077 -0.17905 -0.00179462 1 113
0 190 189 0 3920 -0.950794 -0.0798759 0.880627 0.0111898 -0.179206 -0.00320157 1 118
0 190 189 0 3920 -0.934884 -0.0258942 1.0844 0.0133789 -0.177966 -0.00263639 1 123
0 190 189 0 3920 -0.931338 -0.0229301 0.950983 0.0114293 -0.176942 -0.00404222 1 128
0 190 190 0 3920 -0.952568 -0.00419617 1.04358 0.0112463 -0.176725 -0.00489086 1 133
0 190 189 0 3920 -0.990828 -0.0795918 0.857275 0.00978065 -0.174432 -0.0052996 1 138
0 190 188 0 3920 -1.03756 -0.0660954 0.83885 0.0110033 -0.172279 -0.00615048 1 143
0 190 190 0 3920 -0.988331 -0.0315151 0.788557 0.0113083 -0.173681 -0.00675234 1 148
0 190 191 0 3920 -0.943105 -0.00904465 0.810051 0.0114996 -0.173075 -0.00717443 1 153
0 190 188 0 3920 -0.905994 0.0627289 0.799917 0.0120003 -0.172192 -0.00852111 1 158
0 190 191 0 3920 -0.958261 0.029953 0.542622 0.0106 -0.172074 -0.00880627 1 163
0 190 190 0 3920 -1.08259 -0.067255 0.563566 0.0103468 -0.16992 -0.00967714 1 168
0 190 190 0 3920 -1.05329 0.00284958 0.632832 0.0125662 -0.169039 -0.00943096 1 173
0 190 190 0 3920 -0.966394 -0.000108719 0.74679 0.0104071 -0.169404 -0.00786613 1 178
0 190 190 0 3920 -0.970975 0.035265 0.856377 0.0137528 -0.169093 -0.00751603 1 183
0 190 189 0 3920 -1.05663 -0.0256252 0.603573 0.0108353 -0.167166 -0.0100226 1 188
0 190 189 0 3920 -0.953056 0.0678082 0.665909 0.0112624 -0.167373 -0.00876141 1 193
0 190 190 0 3920 -0.9806 0.0387745 0.70632 0.0109608 -0.167315 -0.00935656 1 198
0 190 189 0 3920 -0.958125 -0.000484467 0.640642 0.00978541 -0.167285 -0.00886185 1 203
0 190 189 0 3920 -0.984346 0.0509281 0.708139 0.0111591 -0.165498 -0.00940397 1 208
0 190 190 0 3920 -0.981822 0.0689545 0.602997 0.0107101 -0.166346 -0.00994533 1 213
0 190 190 0 3920 -0.97101 0.0345287 0.529984 0.0121847 -0.164521 -0.0108959 1 218
0 190 188 0 3920 -0.92684 0.12649 0.518322 0.0126787 -0.165064 -0.0123101 1 223
0 190 191 0 3920 -0.990299 0.0245838 0.806812 0.0124661 -0.162237 -0.00964001 1 228
0 190 190 0 3920 -0.957172 0.069952 0.603306 0.0117929 -0.165037 -0.0104457 1 233
0 190 190 0 3920 -0.93747 0.0803852 0.568485 0.0105997 -0.164881 -0.0112551 1 239
0 190 191 0 3920 -0.908929 0.0802441 0.57592 0.0119224 -0.163529 -0.01158 1 244
0 190 190 0 3920 -0.978261 0.0763493 0.59156 0.0126266 -0.161887 -0.0113719 1 249
0 190 190 0 3920 -1.03596 0.0333252 0.461998 0.0106162 -0.162352 -0.0120944 1 254
0 190 191 0 3920 -0.922208 0.103487 0.669968 0.00987446 -0.164105 -0.0106605 1 259
0 190 189 0 3920 -0.95 0.0672779 0.396873 0.0121779 -0.162069 -0.0120714 1 264
0 190 189 0 3920 -0.99868 0.0492001 0.586866 0.0114999 -0.161457 -0.0108122 1 269
0 190 190 0 3920 -0.873073 0.151102 0.643288 0.0129213 -0.162169 -0.00998001 1 274
0 190 191 0 3920 -1.02203 0.0634632 0.421673 0.0128721 -0.159821 -0.0127985 1 279
0 190 190 0 3920 -0.965341 0.105284 0.544535 0.0106529 -0.160992 -0.0119472 1 284
0 190 190 0 3920 -0.967676 0.0820427 0.396267 0.00884759 -0.160509 -0.0128209 1 289
0 190 190 0 3920 -0.968983 0.119764 0.454964 0.0103993 -0.161029 -0.0123504 1 294
0 190 189 0 3920 -0.931104 0.141296 0.538427 0.0108899 -0.160151 -0.0116128 1 299
0 190 189 0 3920 -1.03735 0.126125 0.500751 0.012143 -0.159408 -0.0114765 1 304
0 190 189 0 3920 -0.986484 0.116667 0.473122 0.0122343 -0.160038 -0.0124973 1 309
0 190 188 0 3920 -0.954603 0.0500278 0.570892 0.0118827 -0.158404 -0.0122156 1 314
0 190 188 0 3920 -0.990856 0.0559216 0.505007 0.011377 -0.158643 -0.0127688 1 320
0 190 189 0 3920 -1.01311 0.0844135 0.348024 0.0121329 -0.157683 -0.0127527 1 325
0 190 189 0 3920 -0.945608 0.0985241 0.564648 0.0106425 -0.158545 -0.0110169 1 330
0 190 189 0 3920 -0.947078 0.101114 0.601109 0.0126286 -0.158098 -0.0123967 1 335
0 190 189 0 3920 -1.02145 0.0711842 0.387842 0.0112185 -0.157906 -0.0134152 1 340
0 190 190 0 3920 -0.894973 0.116009 0.571362 0.00967753 -0.159242 -0.0124788 1 344
0 190 190 0 3920 -0.977846 0.0869389 0.560713 0.0105191 -0.158063 -0.0106877 1 348
0 190 190 0 3920 -0.941324 0.176641 0.409428 0.0119369 -0.157636 -0.0139698 1 352
0 190 189 0 3920 -0.998861 0.126446 0.318815 0.0101757 -0.157195 -0.0136121 1 356
0 190 189 0 3920 -0.959126 0.105795 0.569021 0.0116382 -0.156362 -0.0129036 1 360
0 190 189 0 3920 -0.879169 0.168314 0.563507 0.0100778 -0.158993 -0.0122248 1 364
0 190 189 0 3920 -0.969599 0.0880547 0.461979 0.0113788 -0.157037 -0.0128625 1 368
0 190 189 0 3920 -0.92654 0.159418 0.288704 0.0101649 -0.155916 -0.0147118 1 372
0 190 189 0 3920 -0.968902 0.110939 0.482904 0.0110421 -0.155207 -0.013233 1 376
0 190 190 0 3920 -0.875686 0.143845 0.586458 0.0124302 -0.15567 -0.0118353 1 380
0 190 190 0 3920 -0.968998 0.128523 0.482512 0.0107787 -0.156775 -0.0129573 1 384
0 190 190 0 3920 -0.906919 0.103251 0.324778 0.0124143 -0.155215 -0.0144566 1 388
0 190 190 0 3920 -0.939301 0.123508 0.350227 0.00897968 -0.154594 -0.0135096 1 392
0 190 189 0 3920 -0.944447 0.0799885 0.630278 0.0118445 -0.154668 -0.0122727 1 396
0 190 188 0 3920 -0.926452 0.140013 0.473701 0.0119261 -0.155891 -0.0132016 1 400
0 190 189 0 3920 -1.00709 0.11068 0.244366 0.0128391 -0.153906 -0.0138561 1 404
0 190 187 0 3920 -0.898234 0.115791 0.385029 0.0116752 -0.154473 -0.0149007 1 408
0 190 189 0 3920 -0.96921 0.0920162 0.528996 0.0105062 -0.155309 -0.011512 1 413
0 190 190 0 3920 -0.943165 0.141933 0.58267 0.0121417 -0.153763 -0.0125149 1 420
0 190 190 0 3920 -0.969222 0.128019 0.293003 0.0124367 -0.152785 -0.0139674 1 425
0 190 190 0 3920 -0.980911 0.0672722 0.507923 0.0101279 -0.155251 -0.011397 1 432
0 190 191 0 3920 -0.937313 0.140472 0.215782 0.0110281 -0.155176 -0.0150803 1 436
