stoptorque goal_current current velocity position Fx Fy Fz Mx My Mz counterclock Time
0 0 0 0 3650 -0.0448847 0.0944824 -0.0435009 -0.00580001 0.00905784 0.00757071 1 5
0 0 0 0 3651 0.01894 -0.17868 0.238689 -0.00714469 0.00393273 -0.00293092 1 11
0 0 0 0 3651 0.0433941 -0.013588 -0.0170288 -0.00467849 0.00308292 0.00392121 1 16
0 0 0 0 3650 0.0211029 -0.205992 0.141153 0.00371301 -0.00247184 -0.00807267 1 24
0 0 0 0 3651 -0.0255823 0.052927 0.0667496 -0.00760472 0.00864863 0.00744221 1 29
0 0 0 0 3651 0.0602922 -0.197021 0.128906 0.00256383 -0.000628076 -0.00674292 1 34
0 0 0 0 3650 -0.0338869 -0.0644646 0.00403976 0.00137699 -8.33496e-05 -0.00230618 1 39
0 0 0 0 3651 0.0105534 -0.163082 0.144463 0.00653601 0.000398286 -0.00658886 1 45
0 0 0 0 3651 0.0143604 -0.00105858 0.0207787 -0.00378752 -0.000959776 0.00193273 1 52
0 0 0 0 3651 -0.023963 -0.174486 0.178514 -0.00216269 0.00133598 -0.00587787 1 60
0 0 0 0 3651 -0.0162191 0.0518436 0.0303116 -0.00257897 -0.000397794 0.00137834 1 65
0 0 0 0 3651 0.0448675 -0.177931 0.180929 0.0041492 -0.00297093 -0.00756185 1 70
0 0 0 0 3651 0.00296307 -0.115213 -0.020977 0.00579369 0.00367033 -0.00153548 1 76
0 0 0 0 3650 -0.0164232 -0.138529 0.145454 0.00588024 0.00274723 -0.00683561 1 81
0 0 0 0 3651 0.0435982 0.0301971 0.0389328 -0.00667584 0.00424993 0.00602531 1 89
0 0 0 0 3651 0.0346308 -0.171425 0.170378 0.00575995 -0.00267825 -0.00789602 1 94
0 0 0 0 3651 -0.0122995 0.00733566 0.0232525 -0.00131691 0.000503421 0.000300989 1 100
0 0 0 0 3651 0.0341978 -0.16708 -0.0104351 0.00379825 0.00444841 -0.0044529 1 105
0 0 0 0 3651 0.00266743 -0.0880966 -0.0517197 0.00584626 -0.000757448 -0.00343683 1 111
