stoptorque goal_current current velocity position Fx Fy Fz Mx My Mz counterclock Time
0 0 2 0 3642 -0.020182 -0.0191261 -0.00534134 -0.000383353 0.000391789 -4.08798e-05 1 4
0 0 0 0 3643 0.0325562 -0.0619938 -0.0761078 -0.00137613 -0.000945799 -0.000570452 1 8
0 0 0 0 3642 -0.0477566 -0.0414688 -0.0852688 -0.000553465 -0.00145489 0.000331828 1 12
0 0 0 0 3642 -0.00126781 0.00777893 -0.00872879 0.0013186 0.000661634 -0.000120184 1 16
0 0 0 0 3643 -0.0304379 0.0442589 -0.110747 0.00183346 -0.00288944 -0.00089725 1 20
0 0 0 0 3642 0.0327755 0.0294731 -0.0987595 -0.00117753 -0.00313685 0.000210696 1 24
0 0 0 0 3642 0.0589729 -0.0711414 -0.0531776 -0.00249228 -0.00284485 -0.000491208 1 28
0 0 0 0 3642 0.0186115 -0.00333519 -0.0530937 -0.000371909 -0.00111168 3.75897e-05 1 32
0 0 0 0 3643 -0.0199617 -0.00944633 -0.148585 0.000664616 -0.000456214 -0.0010403 1 36
0 0 0 0 3642 -0.0717787 -0.00121422 -0.011771 -0.000868058 -0.000482358 -0.000832757 1 40
0 0 0 0 3642 0.0645863 0.00326042 -0.0685642 0.000802898 -0.00279034 -0.000341079 1 44
0 0 0 0 3642 0.0352341 0.053479 -0.0294502 0.000635052 -0.00352784 -0.0013115 1 48
0 0 0 0 3642 0.0410772 -0.00952644 -0.156028 -0.00099144 -0.00295152 0.000763112 1 52
0 0 0 0 3643 -0.0726904 -0.0184605 0.0236217 -0.00127075 -0.00105619 -0.000524169 1 56
0 0 0 0 3643 0.00134144 0.0699184 -0.0997513 0.00215771 -0.00226666 0.000672111 1 60
0 0 0 0 3642 -0.00887432 0.0699585 -0.136636 0.00239446 -0.00273286 -0.000656 1 65
0 0 0 0 3643 -0.0194963 0.0833633 -0.0606201 0.00142553 -0.000660188 -0.00137409 1 69
0 0 0 0 3642 0.0373732 -0.0565502 -0.104817 -0.000786161 -0.00131975 -0.00141712 1 73
0 0 0 0 3642 0.0090538 -0.000216675 0.035804 -0.00158463 -0.00134555 9.01759e-05 1 77
0 0 0 0 3643 0.0465437 -0.0326225 -0.0463703 -0.00121818 -0.00189801 -0.000790527 1 81
0 0 0 0 3642 -0.0677303 -0.0261776 -0.0368851 -5.14746e-05 -0.00216493 -0.000384054 1 85
0 0 0 0 3642 0.0510231 0.016795 -0.0497425 0.000911736 -0.00360278 -8.09491e-05 1 89
0 0 0 0 3642 -0.033029 0.0291756 -0.0362041 0.00137928 -0.00311557 -0.000373369 1 94
0 0 0 0 3642 -0.00604858 0.0659817 -0.0410545 0.00127628 -0.00222968 0.000193784 1 99
0 0 0 0 3642 0.0662495 0.0266102 -0.0748241 3.49522e-05 -0.00267141 -0.00109187 1 103
0 0 0 0 3642 -0.0102037 -0.0197384 -0.116696 -0.000660753 -0.000127122 -0.00126307 1 107
0 0 0 0 3643 0.0241858 -0.0620968 -0.0694168 -0.000163174 -0.000619337 -0.000514632 1 111
0 0 0 0 3642 -0.0448488 0.00802498 0.0029747 2.63691e-05 -0.00121244 -0.000898054 1 115
0 0 0 0 3642 0.00285683 0.0380466 -0.0743549 0.00160708 -0.00379898 0.000643739 1 119
0 0 0 0 3643 0.000691032 0.0392368 -0.088681 0.000458503 -0.00300529 -0.00106593 1 123
0 0 0 0 3642 0.0865026 0.00576668 -0.124987 -0.00092361 -0.00301915 0.000346655 1 127
0 0 0 0 3642 0.0898052 -0.0687229 -0.094014 -0.000538206 -0.00359438 0.00018979 1 131
0 0 0 0 3642 -0.0692438 0.0204571 -0.0662296 -0.000573373 0.00228058 -0.00117298 1 135
0 0 0 0 3642 -0.0112032 0.0103596 -0.079171 0.0017586 -0.000883006 -0.000812209 1 139
0 0 0 0 3642 0.0556427 0.0206783 -0.0112331 -0.000946975 -0.00241394 -0.000381178 1 143
0 0 0 0 3642 0.0762917 0.0240601 -0.0401714 0.000807071 -0.00373627 0.000246072 1 149
0 0 0 0 3642 0.0107924 0.00985031 -0.0635555 -0.000775313 -0.00455753 -6.07878e-05 1 153
0 0 0 0 3642 0.0237509 -0.0360806 -0.147696 -0.00135181 -0.0014804 0.000127965 1 157
0 0 0 0 3642 -0.0235685 -0.00141068 -0.0294922 -0.000542498 -0.000158958 -0.000288671 1 161
0 0 0 0 3643 -0.0168442 0.0595577 -0.102214 0.00240662 5.05894e-06 -0.000288284 1 165
0 0 0 0 3642 0.0277077 0.0386913 -0.0442169 -0.000890946 -0.00178912 -0.00203209 1 169
0 0 0 0 3642 0.0480658 -0.0120174 -0.112546 -0.00166771 -0.00178265 -0.000336415 1 173
0 0 0 0 3642 0.0714632 -0.0792458 -0.036578 -0.00173483 -0.00415652 0.000280955 1 177
0 0 0 0 3642 -0.0362066 0.0338676 -0.0380238 0.000919008 -0.000943489 -0.000592744 1 182
0 0 0 0 3642 0.000219917 -0.0268833 -0.153939 -0.0001019 -0.00256921 -3.33399e-05 1 187
0 0 0 0 3642 -0.0451502 -0.0348064 -0.0422962 -0.000311589 -0.00110294 -0.000776684 1 191
0 0 0 0 3642 -0.0377668 -0.0223953 -0.0347698 -0.000783896 0.00209738 -0.000284544 1 195
0 0 0 0 3642 0.00233421 0.04827 -0.109475 0.00123539 -0.00254704 -0.000839224 1 199
0 0 0 0 3642 0.0592648 -0.00185509 -0.102317 -0.00139723 -0.00127419 -0.000812641 1 203
0 0 0 0 3643 -0.00157299 -0.115499 -0.00244217 -0.00245175 -0.00102089 -0.00123057 1 207
0 0 0 0 3642 -0.0802521 -0.0182678 -0.0216415 -0.000773406 -0.0016426 0.00149294 1 211
0 0 0 0 3642 0.0117956 0.053479 -0.0890244 0.00283422 -0.00369393 -0.000142789 1 215
0 0 0 0 3643 0.0450464 0.0376308 -0.101573 -0.000143623 -0.00309005 -0.000347725 1 219
0 0 0 0 3643 0.0276009 -0.0650265 -0.163274 -0.000690436 -0.00259617 -0.000872022 1 223
0 0 0 0 3643 -0.0123543 0.0129688 -0.0021122 -0.00123081 0.000248991 -0.00043211 1 227
0 0 0 0 3643 -0.0240101 -0.0306465 -0.132512 0.00157681 0.000662871 -0.00142907 1 231
0 0 0 0 3642 -0.0371031 0.0074337 -0.0413101 -1.96457e-05 -5.48512e-05 -0.00109716 1 235
0 0 0 0 3642 0.0562769 0.00612907 -0.080817 0.00115302 -0.00376986 3.62337e-05 1 239
0 0 0 0 3642 0.0379177 0.0225971 0.0153286 -0.00117502 -0.00503869 -0.000533661 1 243
0 0 0 0 3642 0.0651594 0.0283077 -0.115308 -0.00160167 -0.00359005 0.000172251 1 248
0 0 0 0 3642 -0.00682869 -0.0911858 -0.133061 -0.00130794 -0.00164659 -0.000681391 1 252
0 0 0 0 3643 -0.0345978 -0.0142242 -0.062516 -9.4986e-05 0.00135436 -0.00059413 1 256
0 0 0 0 3642 0.000594711 -0.00170441 -0.0396145 0.00108435 -0.000921316 -0.00157878 1 260
0 0 0 0 3643 0.0135475 0.0553253 -0.122449 8.96454e-06 -0.00170863 -0.000341287 1 264
0 0 0 0 3642 0.0346085 -0.0543549 -0.00750809 -0.00144193 -0.00167514 -0.00126143 1 268
0 0 0 0 3642 -0.00738087 0.0051239 -0.00591354 -0.00149426 -0.00282717 0.000511551 1 272
0 0 0 0 3642 -0.0626043 -0.0140507 -0.146195 0.000930214 -0.00259344 0.00041374 1 276
0 0 0 0 3642 -0.0396799 0.0755184 -0.00747757 0.000356936 -0.00123192 -0.00121797 1 281
0 0 0 0 3642 0.0202585 0.0330627 -0.0481194 0.00126722 -0.000950709 -0.000139749 1 285
0 0 0 0 3642 0.0406662 0.0136364 -0.0559738 0.000173831 -0.00312208 -0.00109617 1 289
