Fx Fz M_max M_min
-20 -7 0 0
-19.9 -7 0 0
-19.8 -7 0 0
-19.7 -7 0 0
-19.6 -7 0 0
-19.5 -7 0 0
-19.4 -7 0 0
-19.3 -7 0 0
-19.2 -7 0 0
-19.1 -7 0 0
-19 -7 0 0
-18.9 -7 0 0
-18.8 -7 0 0
-18.7 -7 0 0
-18.6 -7 0 0
-18.5 -7 0 0
-18.4 -7 0 0
-18.3 -7 0 0
-18.2 -7 0 0
-18.1 -7 0 0
-18 -7 0 0
-17.9 -7 0 0
-17.8 -7 0 0
-17.7 -7 0 0
-17.6 -7 0 0
-17.5 -7 0 0
-17.4 -7 0 0
-17.3 -7 0 0
-17.2 -7 0 0
-17.1 -7 0 0
-17 -7 0 0
-16.9 -7 0 0
-16.8 -7 0 0
-16.7 -7 0 0
-16.6 -7 0 0
-16.5 -7 0 0
-16.4 -7 0 0
-16.3 -7 0 0
-16.2 -7 0 0
-16.1 -7 0 0
-16 -7 0 0
-15.9 -7 0 0
-15.8 -7 0 0
-15.7 -7 0 0
-15.6 -7 0 0
-15.5 -7 0 0
-15.4 -7 0 0
-15.3 -7 0 0
-15.2 -7 0 0
-15.1 -7 0 0
-15 -7 0 0
-14.9 -7 0 0
-14.8 -7 0 0
-14.7 -7 0 0
-14.6 -7 0 0
-14.5 -7 0 0
-14.4 -7 0 0
-14.3 -7 0 0
-14.2 -7 0 0
-14.1 -7 0 0
-14 -7 0 0
-13.9 -7 0 0
-13.8 -7 0 0
-13.7 -7 0 0
-13.6 -7 0 0
-13.5 -7 0 0
-13.4 -7 0 0
-13.3 -7 0 0
-13.2 -7 0 0
-13.1 -7 0 0
-13 -7 0 0
-12.9 -7 0 0
-12.8 -7 0 0
-12.7 -7 0 0
-12.6 -7 0 0
-12.5 -7 0 0
-12.4 -7 0 0
-12.3 -7 0 0
-12.2 -7 0 0
-12.1 -7 0 0
-12 -7 0 0
-11.9 -7 0 0
-11.8 -7 0 0
-11.7 -7 0 0
-11.6 -7 0 0
-11.5 -7 0 0
-11.4 -7 0 0
-11.3 -7 0 0
-11.2 -7 0 0
-11.1 -7 0 0
-11 -7 0 0
-10.9 -7 0 0
-10.8 -7 0 0
-10.7 -7 0 0
-10.6 -7 0 0
-10.5 -7 0 0
-10.4 -7 0 0
-10.3 -7 0 0
-10.2 -7 0 0
-10.1 -7 0 0
-10 -7 0 0
-9.9 -7 0 0
-9.8 -7 0 0
-9.7 -7 0 0
-9.6 -7 0 0
-9.5 -7 0 0
-9.4 -7 0 0
-9.3 -7 0 0
-9.2 -7 0 0
-9.1 -7 0 0
-9 -7 0 0
-8.9 -7 0 0
-8.8 -7 0 0
-8.7 -7 0 0
-8.6 -7 0 0
-8.5 -7 0 0
-8.4 -7 0 0
-8.3 -7 0 0
-8.2 -7 0 0
-8.1 -7 0 0
-8 -7 0 0
-7.9 -7 0 0
-7.8 -7 0 0
-7.7 -7 0 0
-7.6 -7 0 0
-7.5 -7 0 0
-7.4 -7 0 0
-7.3 -7 0 0
-7.2 -7 0 0
-7.1 -7 0 0
-7 -7 0 0
-6.9 -7 0 0
-6.8 -7 0.0539854 0.0443083
-6.7 -7 0.0619856 0.0399205
-6.6 -7 0.0699858 0.0355326
-6.5 -7 0.0779861 0.0311448
-6.4 -7 0.0859863 0.0267569
-6.3 -7 0.0939865 0.0223691
-6.2 -7 0.101987 0.0179812
-6.1 -7 0.109987 0.0135934
-6 -7 0.117987 0.0092055
-5.9 -7 0.125987 0.00481764
-5.8 -7 0.133988 0.000429788
-5.7 -7 0.141988 -0.00395807
-5.6 -7 0.149988 -0.00834592
-5.5 -7 0.157988 -0.0127338
-5.4 -7 0.165988 -0.0171216
-5.3 -7 0.173989 -0.0215095
-5.2 -7 0.181989 -0.0258973
-5.1 -7 0.189989 -0.0302852
-5 -7 0.197989 -0.0346731
-4.9 -7 0.205989 -0.0390609
-4.8 -7 0.21399 -0.0434488
-4.7 -7 0.22199 -0.0478366
-4.6 -7 0.22999 -0.0522245
-4.5 -7 0.23799 -0.0566123
-4.4 -7 0.245991 -0.0610002
-4.3 -7 0.253991 -0.065388
-4.2 -7 0.261991 -0.0697759
-4.1 -7 0.269991 -0.0741638
-4 -7 0.277991 -0.0785516
-3.9 -7 0.285992 -0.0829395
-3.8 -7 0.293992 -0.0873273
-3.7 -7 0.301992 -0.0917152
-3.6 -7 0.309992 -0.096103
-3.5 -7 0.317992 -0.100491
-3.4 -7 0.325993 -0.104879
-3.3 -7 0.333993 -0.109267
-3.2 -7 0.333532 -0.113654
-3.1 -7 0.330305 -0.118042
-3 -7 0.327078 -0.12243
-2.9 -7 0.32385 -0.126818
-2.8 -7 0.320623 -0.131206
-2.7 -7 0.317396 -0.135594
-2.6 -7 0.314169 -0.139982
-2.5 -7 0.310942 -0.144369
-2.4 -7 0.307714 -0.148757
-2.3 -7 0.304487 -0.153145
-2.2 -7 0.30126 -0.157533
-2.1 -7 0.298033 -0.161921
-2 -7 0.294806 -0.165718
-1.9 -7 0.291578 -0.168945
-1.8 -7 0.288351 -0.172172
-1.7 -7 0.285124 -0.1754
-1.6 -7 0.281897 -0.178627
-1.5 -7 0.27867 -0.181854
-1.4 -7 0.275442 -0.185081
-1.3 -7 0.272215 -0.188308
-1.2 -7 0.268988 -0.191536
-1.1 -7 0.265761 -0.194763
-1 -7 0.262534 -0.19799
-0.9 -7 0.259307 -0.201217
-0.8 -7 0.256079 -0.204444
-0.7 -7 0.252852 -0.207672
-0.6 -7 0.249625 -0.210899
-0.5 -7 0.246398 -0.214126
-0.4 -7 0.243171 -0.217353
-0.3 -7 0.239943 -0.22058
-0.2 -7 0.236716 -0.223807
-0.1 -7 0.233489 -0.227035
1.52933e-14 -7 0.230262 -0.230262
0.1 -7 0.227035 -0.233489
0.2 -7 0.223807 -0.236716
0.3 -7 0.22058 -0.239943
0.4 -7 0.217353 -0.243171
0.5 -7 0.214126 -0.246398
0.6 -7 0.210899 -0.249625
0.7 -7 0.207672 -0.252852
0.8 -7 0.204444 -0.256079
0.9 -7 0.201217 -0.259307
1 -7 0.19799 -0.262534
1.1 -7 0.194763 -0.265761
1.2 -7 0.191536 -0.268988
1.3 -7 0.188308 -0.272215
1.4 -7 0.185081 -0.275442
1.5 -7 0.181854 -0.27867
1.6 -7 0.178627 -0.281897
1.7 -7 0.1754 -0.285124
