stoptorque goal_current current velocity position Fx Fy Fz Mx My Mz counterclock Time
0 0 0 0 3445 0.0162125 0.0185356 0.165949 -0.00357807 -0.00251448 -0.00016512 1 5
0 0 0 0 3445 0.0624704 -0.0155506 0.0770168 0.000490189 -0.004412 -0.00119291 1 10
0 0 0 0 3445 0.0116377 0.0281849 -0.0348721 0.00306785 -0.00318101 0.000504345 1 15
0 0 0 0 3445 0.0514984 0.062727 0.179708 -0.00469875 -0.00606569 -0.00149579 1 20
-0.00015 0 0 0 3444 -0.00166988 -0.00569916 0.0251179 0.0041405 -0.00285074 -0.00248188 1 24
0 0 0 0 3445 0.098238 0.00261116 0.0436726 -0.00214779 -0.00312351 0.000445127 1 29
0 0 0 0 3445 0.0896244 0.0307026 0.182537 -0.00523317 -0.00552675 -0.00113055 1 34
0 0 0 0 3445 -0.0131359 -0.0580368 -0.105642 0.00360548 -0.00066869 2.98917e-05 1 39
0 0 0 0 3445 0.12269 -0.0125275 0.088398 -0.00259995 -0.00558449 -0.00211389 1 44
0 0 0 0 3445 0.0687237 -0.0418015 0.107998 -0.000447392 -0.00246796 -0.0014458 1 49
0 0 0 0 3445 0.0664921 0.0354061 -0.0332127 0.00184131 -0.00325027 0.000851125 1 54
0 0 0 0 3445 0.13272 -0.028986 0.179073 -0.00434899 -0.00501992 -0.00157435 1 59
0 0 0 0 3445 0.0382786 -0.0456676 -0.0766659 0.000811338 -0.00183314 0.00222291 1 64
0 0 0 0 3445 0.107245 0.0121632 0.155905 -0.00215757 -0.00459002 -0.0017098 1 69
0 0 0 0 3445 0.0189009 -0.0344257 0.084259 -0.00182009 -0.000666037 0.000177115 1 74
0 0 0 0 3445 0.0708971 0.00357628 0.00395584 0.00160468 -0.00388825 0.000506088 1 79
0 0 0 0 3445 0.0737686 0.0334473 0.182375 -0.00232196 -0.00531945 -0.000694558 1 84
0 0 0 0 3445 -0.00330544 0.0647507 -0.0613155 0.00531161 -0.00149199 0.00172241 1 89
0 0 0 0 3445 0.114764 -0.0527668 0.161476 -0.00188422 -0.00353 -0.00205693 1 94
0 0 0 0 3445 0.044488 0.00347519 0.127728 -0.00147676 -0.00124597 0.00176319 1 99
0 0 0 0 3445 0.0353308 -0.0555706 0.0708599 -0.000584364 -0.000962764 0.00124072 1 104
0 0 0 0 3445 0.0995226 0.0278816 0.243021 -0.00250256 -0.00411808 -0.00180584 1 109
0 0 0 0 3445 0.0650234 -0.0061264 -0.053854 0.00195956 -0.00201812 0.00226936 1 114
0 0 0 0 3445 0.0790205 -0.00830078 0.165831 -0.000880361 -0.00373529 -0.00298651 1 119
0 0 0 0 3445 0.0349808 0.0746212 0.129692 -0.00151181 -0.00366188 0.000861451 1 124
0 0 0 0 3445 0.0112925 -0.0252724 -0.065752 -0.000425339 -0.00125487 0.000873059 1 129
0 0 0 0 3445 0.136642 -0.0205765 0.247772 -0.00296938 -0.00572811 -0.00315876 1 134
0 0 0 0 3445 -0.00417328 0.0388508 -0.0533333 -0.000222802 -0.000447676 0.00200263 1 139
0 0 0 0 3445 0.05548 0.0419998 0.0813255 -0.000207901 -0.00522658 -0.00204468 1 144
0 0 0 0 3445 0.0683298 -0.0192204 0.138449 -0.00229943 -0.00342225 -0.000712991 1 149
0 0 0 0 3445 -0.0339708 0.0379276 -0.00819206 0.00210786 -0.00145969 0.000347853 1 154
0 0 0 0 3445 0.0712309 -0.0161819 0.208763 -0.00208342 -0.00379014 -0.00172175 1 160
0 0 0 0 3445 0.00773811 -0.0104046 -0.0604286 0.000589132 0.000575729 0.0019775 1 165
0 0 0 0 3445 0.167295 -0.0403385 0.196579 -5.126e-06 -0.00544403 -0.00276697 1 171
0 0 0 0 3445 0.00745106 0.015604 0.0434132 -0.00260365 -0.00193591 0.00177322 1 177
0 0 0 0 3445 0.0826998 -0.10708 0.156996 -0.000400901 -0.0033226 -0.00197656 1 182
0 0 0 0 3445 0.00212955 -0.00990486 0.0457611 -0.00359619 -0.00131356 0.00176613 1 188
0 0 0 0 3445 -0.0190935 0.0108738 0.02981 0.00231934 -0.00322802 -0.000118479 1 193
0 0 0 0 3445 0.026515 0.0619793 0.0694923 -0.000891924 -0.00294891 0.000321031 1 198
0 0 0 0 3445 0.0115995 0.0304794 0.0589943 -0.00246882 -0.00246729 0.00159724 1 203
0 0 0 0 3445 0.152773 -0.0835152 0.144907 0.000314116 -0.00514148 -0.00197923 1 208
0 0 0 0 3445 0.0171824 0.0131512 0.0522633 -0.00342131 -0.00180259 0.000910476 1 213
0 0 0 0 3445 0.0657082 -0.0240822 0.101435 0.00102663 -0.00376244 -0.00146413 1 218
0 0 0 0 3445 0.0137777 -0.0154362 -0.0253735 0.00127399 -0.000280365 -0.00166628 1 223
0 0 0 0 3445 0.120911 0.0159531 0.114019 -0.00483215 -0.00489242 0.00101273 1 228
0 0 0 0 3445 0.0364065 -0.0905037 0.0402584 0.00258029 -0.00299399 -0.00279273 1 233
0 0 0 0 3445 0.0566378 0.106857 0.0661545 -0.00193262 -0.00392739 0.00112772 1 238
0 0 0 0 3445 0.0826473 -0.0469551 0.086607 0.00039649 -0.00226612 -0.00118257 1 243
0 0 0 0 3445 0.0344915 0.050209 -0.0351696 0.00305951 -0.00246957 3.27826e-07 1 248
0 0 0 0 3445 0.0669022 0.0223446 0.20668 -0.00553703 -0.00417449 0.000277072 1 253
0 0 0 0 3445 0.0246458 -0.00846672 0.108538 0.00465226 -0.00417598 -0.000931144 1 258
0 0 0 0 3445 0.0926676 -0.0071888 0.119171 -0.00436497 -0.00210556 0.00124022 1 263
0 0 0 0 3445 0.0287275 0.00554466 0.16552 0.000952601 -0.00356929 -0.00101815 1 268
0 0 0 0 3445 0.0322781 0.0309048 0.0853176 0.000459552 -0.00208174 0.00137338 1 273
0 0 0 0 3445 0.0162058 0.0153866 0.165422 -0.00495696 -0.00338055 -0.000658318 1 277
0 0 0 0 3445 0.0230656 -0.00166512 0.0544376 0.00474262 -0.00414667 -0.000636235 1 282
0 0 0 0 3445 0.0754614 0.0494061 0.0343475 0.000625134 -0.00353207 0.00117806 1 287
-0.00015 0 0 0 3444 0.0870867 -0.0602932 0.106628 0.000651002 -0.00299998 -0.00120381 1 294
0 0 0 0 3445 0.0375919 0.00572777 0.0451736 0.000298023 -0.00283879 0.000487596 1 299
0 0 0 0 3445 0.105821 -0.0123863 0.212357 -0.00566673 -0.00422063 -0.00177626 1 304
0 0 0 0 3445 -0.0243444 0.0656395 -0.0715923 0.00404596 -0.0014163 0.000943661 1 309
0 0 0 0 3445 0.0613451 0.0514126 0.191854 -0.00377095 -0.00575269 -0.0024057 1 315
0 0 0 0 3445 0.0459747 -0.00135803 0.0702801 0.00109279 -0.00215657 0.000456065 1 320
0 0 0 0 3445 0.0408735 0.00134659 0.0572109 -0.000574112 -0.00433987 -0.00088118 1 325
0 0 0 0 3445 0.0694399 -0.0127659 0.291101 -0.00400555 -0.00471924 -0.00132878 1 330
