stoptorque goal_current current velocity position Fx Fy Fz Mx My Mz counterclock Time
0 0 0 0 3592 -0.00951576 0.0456657 0.0568466 -9.17912e-06 -0.000829391 0.00103417 1 3
0 0 0 0 3592 -0.0171146 0.0160294 -0.104776 7.06911e-05 0.0011666 0.000754714 1 5
0 0 0 0 3592 -0.0128164 0.0337105 -0.00837517 0.00173855 -0.00115749 5.03361e-05 1 7
0 0 0 0 3592 0.019124 0.0714455 -0.0802994 0.000871897 -0.000392474 0.00152023 1 9
0 0 0 0 3592 0.0607615 0.0174465 -0.0334606 -0.0001297 -0.000549309 0.000362426 1 11
0 0 0 0 3591 -0.0299559 0.053093 0.016634 -0.000693321 -0.000394545 0.000415415 1 13
0 0 0 0 3592 -0.00279236 0.00331116 -0.0807858 0.000503898 -0.0013463 0.00124422 1 15
0 0 0 0 3592 0.00397301 0.0424271 0.0101547 0.0010829 0.000748664 0.000143379 1 17
0 0 0 0 3592 0.0449133 0.0666866 -0.0851192 0.000845194 0.000560045 0.000810221 1 19
0 0 0 0 3592 0.0106783 0.00421524 -0.0411148 -0.00061965 -0.00156749 -7.45505e-05 1 21
0 0 0 0 3592 -0.0342016 0.00595665 -0.0593891 0.000249982 0.000758089 0.000150621 1 23
0 0 0 0 3592 0.0124693 0.00321007 -0.00702286 0.00125778 -4.94719e-06 0.00019668 1 25
0 0 0 0 3592 -0.00253201 0.0720329 0.0193615 0.000619531 -0.000837825 -1.76877e-05 1 27
0 0 0 0 3592 0.00370502 0.024292 -0.0872993 -5.9247e-05 -0.000570774 0.00126882 1 29
0 0 0 0 3592 0.0081768 -0.0108814 0.0354214 0.000694752 -0.000586487 -2.45422e-05 1 31
0 0 0 0 3592 0.00370026 0.00328064 -0.0647182 0.000533223 0.000199534 0.00101933 1 33
0 0 0 0 3592 -0.0244064 0.0356598 -0.0196648 0.00134575 -0.0015915 0.000774637 1 35
0 0 0 0 3592 0.00325775 0.0873566 0.0510559 0.000418305 -0.00103907 0.000932679 1 37
0 0 0 0 3592 -0.0172539 -0.0037632 -0.0631256 0.000113487 -0.00205163 0.00159955 1 39
0 0 0 0 3591 -0.00692463 0.0124435 0.03092 0.000601292 -0.00114234 0.00090225 1 41
0 0 0 0 3592 0.0328903 0.0157375 -0.122133 0.000957727 0.000169784 0.00118047 1 43
0 0 0 0 3592 -0.0134745 0.0030098 -0.000139236 6.19888e-05 -0.000571817 -0.000283062 1 45
0 0 0 0 3592 -0.0154886 0.0662422 0.0545139 0.000779629 -0.00156471 0.00105017 1 47
0 0 0 0 3592 0.031353 0.012352 -0.00258636 -0.000462055 -0.000967324 0.000505447 1 49
0 0 0 0 3592 0.015563 0.0326328 0.0787048 -0.000450134 0.00123224 0.000158042 1 51
0 0 0 0 3592 -0.00379276 0.00376701 -0.103855 -0.00037539 -0.000395715 0.00135982 1 53
0 0 0 0 3592 -0.0187235 0.0261459 -0.00173378 0.00128925 -0.000166595 -0.000722438 1 55
0 0 0 0 3592 0.0162401 0.0239182 -0.0932846 0.00133991 0.00237096 0.000430107 1 57
0 0 0 0 3592 0.0290422 0.0439835 -0.0138397 0.00032711 -0.00114721 0.000136197 1 59
0 0 0 0 3592 -0.0326281 0.0352898 0.0142956 -0.00092864 -8.68216e-05 0.000104904 1 61
0 0 0 0 3592 -0.00894928 -0.014389 -0.109604 0.000440121 0.000191547 0.000139773 1 63
0 0 0 0 3592 -0.013669 0.0424538 0.0383244 0.000751853 -0.000999592 0.0010642 1 65
0 0 0 0 3592 0.0411329 0.0631905 -0.0809307 0.00121927 -0.00124759 0.00141481 1 67
0 0 0 0 3592 0.0177488 -0.00567245 -0.0268879 -0.000165462 -0.00064563 -0.000305861 1 69
0 0 0 0 3592 -0.0266514 0.029768 -0.0397587 0.00021112 -0.00058607 0.00100681 1 71
0 0 0 0 3592 -0.0194826 0.0130959 -0.0614605 0.00044167 -0.0024774 0.001196 1 73
0 0 0 0 3592 0.00612354 0.0897636 0.0181904 0.000917554 -0.000253253 -2.70158e-05 1 75
0 0 0 0 3592 0.00506973 0.0407333 -0.0687695 -0.000322342 -0.00159281 0.00215259 1 77
0 0 0 0 3592 -0.020133 -0.0167122 0.0294571 0.000303745 -0.0028679 0.00154038 1 79
0 0 0 0 3592 0.0295353 -0.0101624 -0.0313931 0.00115943 0.00320564 0.000487283 1 81
0 0 0 0 3592 0.0130644 0.00720596 -0.062151 0.000834584 -0.00016135 0.000832886 1 83
0 0 0 0 3592 -0.0534201 0.0791473 0.0435543 -0.000123262 -0.00152583 0.00139354 1 85
0 0 0 0 3592 0.0133018 0.0189705 -0.0683079 6.35386e-05 0.00129666 0.000437543 1 87
0 0 0 0 3592 -0.0109053 0.0123711 0.041872 -0.000478625 0.000599831 -0.000532553 1 89
0 0 0 0 3592 -0.0261946 0.0604324 -0.084692 -6.13928e-05 -0.000621781 0.00137746 1 91
0 0 0 0 3592 -0.0102472 0.00618172 -0.0698128 0.000828505 0.00125971 -0.00045611 1 93
0 0 0 0 3592 -0.0139818 0.0378113 0.00459099 0.001454 0.0013235 9.98676e-05 1 95
0 0 0 0 3592 0.031908 0.000839233 -0.0246277 -0.000181079 -0.0029853 0.00130145 1 97
0 0 0 0 3592 0.0101976 0.026741 0.0198498 -0.000289083 0.000127569 -0.000731081 1 99
0 0 0 0 3592 -0.0341692 0.0337486 -0.0776176 -0.000618815 0.000504091 -1.9744e-05 1 101
0 0 0 0 3592 -0.0177002 0.0144882 -0.00758362 0.00118661 -0.0040758 0.000847489 1 103
0 0 0 0 3592 0.0456905 0.0405273 -0.0828304 0.000968575 0.00060188 0.000203624 1 105
0 0 0 0 3592 0.0610332 0.00195694 -0.0772114 -9.58443e-05 0.000485688 0.000389248 1 107
0 0 0 0 3592 -0.0811863 0.0358486 0.0923138 -0.000346661 -0.003082 0.00113747 1 109
0 0 0 0 3592 -0.0310545 0.0242615 -0.0687866 0.000504971 -0.000817075 0.00173311 1 111
0 0 0 0 3592 0.0090313 0.0281773 -0.0602589 0.00110853 0.00119413 -0.000711769 1 113
0 0 0 0 3592 -0.0093174 0.0891933 -0.0202007 -0.00014472 -0.00254459 0.00222313 1 115
0 0 0 0 3592 0.00609207 -0.0170059 -0.102024 -0.000148058 -0.000672698 0.000881687 1 117
