Fx Fz M_max M_min
-20 -7 0 0
-19.9 -7 0 0
-19.8 -7 0 0
-19.7 -7 0 0
-19.6 -7 0 0
-19.5 -7 0 0
-19.4 -7 0 0
-19.3 -7 0 0
-19.2 -7 0 0
-19.1 -7 0 0
-19 -7 0 0
-18.9 -7 0 0
-18.8 -7 0 0
-18.7 -7 0 0
-18.6 -7 0 0
-18.5 -7 0 0
-18.4 -7 0 0
-18.3 -7 0 0
-18.2 -7 0 0
-18.1 -7 0 0
-18 -7 0 0
-17.9 -7 0 0
-17.8 -7 0 0
-17.7 -7 0 0
-17.6 -7 0 0
-17.5 -7 0 0
-17.4 -7 0 0
-17.3 -7 0 0
-17.2 -7 0 0
-17.1 -7 0 0
-17 -7 0 0
-16.9 -7 0.372964 0.370975
-16.8 -7 0.380964 0.366587
-16.7 -7 0.388964 0.362199
-16.6 -7 0.396964 0.357811
-16.5 -7 0.404965 0.353423
-16.4 -7 0.412965 0.349036
-16.3 -7 0.420965 0.344648
-16.2 -7 0.428965 0.34026
-16.1 -7 0.436965 0.335872
-16 -7 0.444966 0.331484
-15.9 -7 0.452966 0.327096
-15.8 -7 0.460966 0.322708
-15.7 -7 0.468966 0.318321
-15.6 -7 0.476967 0.313933
-15.5 -7 0.484967 0.309545
-15.4 -7 0.492967 0.305157
-15.3 -7 0.500967 0.300769
-15.2 -7 0.508967 0.296381
-15.1 -7 0.516968 0.291993
-15 -7 0.524968 0.287606
-14.9 -7 0.532968 0.283218
-14.8 -7 0.540968 0.27883
-14.7 -7 0.548968 0.274442
-14.6 -7 0.556969 0.270054
-14.5 -7 0.564969 0.265666
-14.4 -7 0.572969 0.261278
-14.3 -7 0.580969 0.256891
-14.2 -7 0.58897 0.252503
-14.1 -7 0.59697 0.248115
-14 -7 0.60497 0.243727
-13.9 -7 0.61297 0.239339
-13.8 -7 0.62097 0.234951
-13.7 -7 0.628971 0.230563
-13.6 -7 0.636971 0.226176
-13.5 -7 0.644971 0.221788
-13.4 -7 0.652971 0.2174
-13.3 -7 0.660971 0.213012
-13.2 -7 0.668972 0.208624
-13.1 -7 0.676972 0.204236
-13 -7 0.684972 0.199848
-12.9 -7 0.692972 0.195461
-12.8 -7 0.700973 0.191073
-12.7 -7 0.708973 0.186685
-12.6 -7 0.716973 0.182297
-12.5 -7 0.724973 0.177909
-12.4 -7 0.732973 0.173521
-12.3 -7 0.732797 0.169133
-12.2 -7 0.72957 0.164746
-12.1 -7 0.726343 0.160358
-12 -7 0.723116 0.15597
-11.9 -7 0.719889 0.151582
-11.8 -7 0.716661 0.147194
-11.7 -7 0.713434 0.142806
-11.6 -7 0.710207 0.138418
-11.5 -7 0.70698 0.134031
-11.4 -7 0.703753 0.129643
-11.3 -7 0.700525 0.125255
-11.2 -7 0.697298 0.120867
-11.1 -7 0.694071 0.116479
-11 -7 0.690844 0.112091
-10.9 -7 0.687617 0.107703
-10.8 -7 0.684389 0.103316
-10.7 -7 0.681162 0.0989278
-10.6 -7 0.677935 0.0945399
-10.5 -7 0.674708 0.0901521
-10.4 -7 0.671481 0.0857642
-10.3 -7 0.668253 0.0813764
-10.2 -7 0.665026 0.0769885
-10.1 -7 0.661799 0.0726007
-10 -7 0.658572 0.0682128
-9.9 -7 0.655345 0.0638249
-9.8 -7 0.652118 0.0594371
-9.7 -7 0.64889 0.0550492
-9.6 -7 0.645663 0.0506614
-9.5 -7 0.642436 0.0462735
-9.4 -7 0.639209 0.0418857
-9.3 -7 0.635982 0.0374978
-9.2 -7 0.632754 0.03311
-9.1 -7 0.629527 0.0287221
-9 -7 0.6263 0.0243342
-8.9 -7 0.623073 0.0199464
-8.8 -7 0.619846 0.0155585
-8.7 -7 0.616618 0.0111707
-8.6 -7 0.613391 0.00678282
-8.5 -7 0.610164 0.00239497
-8.4 -7 0.606937 -0.00199289
-8.3 -7 0.60371 -0.00638074
-8.2 -7 0.600483 -0.0107686
-8.1 -7 0.597255 -0.0151565
-8 -7 0.594028 -0.0195443
-7.9 -7 0.590801 -0.0239322
-7.8 -7 0.587574 -0.02832
-7.7 -7 0.584347 -0.0327079
-7.6 -7 0.581119 -0.0370957
-7.5 -7 0.577892 -0.0414836
-7.4 -7 0.574665 -0.0458714
-7.3 -7 0.571438 -0.0502593
-7.2 -7 0.568211 -0.0546472
-7.1 -7 0.564983 -0.059035
-7 -7 0.561756 -0.0634229
-6.9 -7 0.558529 -0.0678107
-6.8 -7 0.555302 -0.0721986
-6.7 -7 0.552075 -0.0765864
-6.6 -7 0.548847 -0.0809743
-6.5 -7 0.54562 -0.0853621
-6.4 -7 0.542393 -0.08975
-6.3 -7 0.539166 -0.0941379
-6.2 -7 0.535939 -0.0985257
-6.1 -7 0.532712 -0.102914
-6 -7 0.529484 -0.107301
-5.9 -7 0.526257 -0.111689
-5.8 -7 0.52303 -0.116077
-5.7 -7 0.519803 -0.120465
-5.6 -7 0.516576 -0.124853
-5.5 -7 0.513348 -0.129241
-5.4 -7 0.510121 -0.133629
-5.3 -7 0.506894 -0.138016
-5.2 -7 0.503667 -0.142404
-5.1 -7 0.50044 -0.146792
-5 -7 0.497212 -0.15118
-4.9 -7 0.493985 -0.155568
-4.8 -7 0.490758 -0.159956
-4.7 -7 0.487531 -0.164344
-4.6 -7 0.484304 -0.168731
-4.5 -7 0.481076 -0.173119
-4.4 -7 0.477849 -0.177507
-4.3 -7 0.474622 -0.181895
-4.2 -7 0.471395 -0.186283
-4.1 -7 0.468168 -0.190671
-4 -7 0.464941 -0.195059
-3.9 -7 0.461713 -0.199446
-3.8 -7 0.458486 -0.203834
-3.7 -7 0.455259 -0.208222
-3.6 -7 0.452032 -0.21261
-3.5 -7 0.448805 -0.216998
-3.4 -7 0.445577 -0.221386
-3.3 -7 0.44235 -0.225774
-3.2 -7 0.439123 -0.230161
-3.1 -7 0.435896 -0.234549
-3 -7 0.546039 -0.239037
-2.9 -7 0.429441 -0.242264
-2.8 -7 0.426214 -0.245492
-2.7 -7 0.422987 -0.248719
-2.6 -7 0.41976 -0.251946
-2.5 -7 0.416533 -0.255173
-2.4 -7 0.413306 -0.2584
-2.3 -7 0.410078 -0.261628
-2.2 -7 0.406851 -0.264855
-2.1 -7 0.403624 -0.268082
-2 -7 0.400397 -0.271309
-1.9 -7 0.39717 -0.274536
-1.8 -7 0.393942 -0.277764
-1.7 -7 0.390715 -0.280991
